"","Titulo","Autor","Editorial","Precio","Valoracion","Cant_coment","Cant_pag","Formato","URL"
"916","Amores Que Matan / Santillana...","Lucía Laragione","Santillana",7900,0,0,144,"Tapa Blanda","https://www.linio.cl/p/amores-que-matan-santillana-vbqf55"
"917","El Monstruo Del Arroyo...","Mario Méndez","Santillana",7900,0,0,128,"Tapa Blanda","https://www.linio.cl/p/el-monstruo-del-arroyo-ve65d0"
"918","El Secreto De La Cueva Negra...","Pepe Pelayo","Santillana",7900,0,0,164,"Tapa Blanda","https://www.linio.cl/p/el-secreto-de-la-cueva-negra-www0i9"
"919","El Monstruo Del Arroyo...","Mario Méndez","Santillana",7900,0,0,128,"Tapa Blanda","https://www.linio.cl/p/el-monstruo-del-arroyo-wy2vpt"
"920","Ritalinda / Santillana...","Beatriz Rojas","Santillana",7900,0,0,168,"Tapa Blanda","https://www.linio.cl/p/ritalinda-santillana-wz9qwj"
"921","El Lenguaje De Las Cosas...","María José Ferrada","Santillana",7900,0,0,60,"Tapa Blanda","https://www.linio.cl/p/el-lenguaje-de-las-cosas-wzv6ib"
"922","La Isla de los Vientos Prohibidos..."," Helen Velando","Santillana",7900,0,0,192,"Tapa Blanda","https://www.linio.cl/p/la-isla-de-los-vientos-prohibidos-x1phus"
"923","El Planeta Sin Nombre...","Felipe Jordán","Santillana",7900,0,0,244,"Tapa Blanda","https://www.linio.cl/p/el-planeta-sin-nombre-x2axgk"
"924","Los Cretinos / Santillana...","Roald Dahl","Santillana",7900,0,0,112,"Tapa Blanda","https://www.linio.cl/p/los-cretinos-santillana-ynzylv"
"925","Principito, el - SAINT-EXUPERY...","SAINT-EXUPERY","SALAMANDRA",45990,0,0,96,"Tapa Blanda","https://www.linio.cl/p/principito-el-saint-exupery-jqma2y"
"926","Harry Potter Y La Camara Secreta...","SAINT-EXUPERY","SALAMANDRA",26731,0,0,NA,NA,"https://www.linio.cl/p/harry-potter-y-la-camara-secreta-js1xqz"
"927","Harry Potter Y El Prisionero De Azkaban...","JK Rowling","Salamandra Bolsillo",22490,0,0,384,"Tapa Blanda","https://www.linio.cl/p/harry-potter-y-el-prisionero-de-azkaban-3-n1nosf"
"928","El Niño Con El Pijama De Rayas...","John Boyne","Salamandra Bolsillo",20590,0,0,224,"Tapa Blanda","https://www.linio.cl/p/el-nin-o-con-el-pijama-de-rayas-n41f6z"
"929","Louis Entre Fantasmas (Graphic) - Tela...","Isabelle Arsenault","EDICIONES URANO S.A.",13790,0,0,160,"Tapa Blanda","https://www.linio.cl/p/louis-entre-fantasmas-graphic-tela-ondg7k"
"930","Harry Potter Y La Orden Del Fénix...","Isabelle Arsenault","EDICIONES URANO S.A.",34973,0,0,NA,NA,"https://www.linio.cl/p/harry-potter-y-la-orden-del-fe-nix-oqnz8b"
"931","Harry potter y el misterio del principe...","ROWLING, JOANNE K.","SALAMANDRA",50690,0,0,608,"Tapa Dura","https://www.linio.cl/p/harry-potter-y-el-misterio-del-principe-qc68ga"
"932","HARRY POTTER - EL PRISIONERO DE AZKABAN...","ROWLING, J. K.","SALAMANDRA",15090,0,0,416,"Tapa Dura","https://www.linio.cl/p/harry-potter-el-prisionero-de-azkaban-20-aniversario-slytherin--qg75an"
"933","HARRY POTTER Y EL CALIZ DE FUEGO...","Rowling, J. K.","PENGUIN RANDOM HOUSE GRUPO EDITORIAL SA",14490,5,3,674,"Tapa Blanda","https://www.linio.cl/p/harry-potter-y-el-caliz-de-fuego-tr8weq"
"934","HARRY POTTER - EL PRISIONERO DE AZKABAN...","ROWLING, J. K.","PENGUIN RANDOM HOUSE GRUPO EDITORIAL SA",15090,0,0,416,"Tapa Dura","https://www.linio.cl/p/harry-potter-el-prisionero-de-azkaban-20-aniversario-ravenclaw--tr9ua7"
"935","Harry potter y el caliz de fuego...","ROWLING, J.K.","SALAMANDRA",52990,0,0,640,"Tapa Dura","https://www.linio.cl/p/harry-potter-y-el-caliz-de-fuego-va6ubu"
"936","Ladrones en el foro - LAWRENCE, CAROLINE...","LAWRENCE, CAROLINE","SALAMANDRA",25290,0,0,192,"Tapa Blanda","https://www.linio.cl/p/ladrones-en-el-foro-lawrence-caroline-vas9xm"
"937","HARRY POTTER - EL PRISIONERO DE AZKABAN...","ROWLING, J. K.","SALAMANDRA",15090,0,0,416,"Tapa Dura","https://www.linio.cl/p/harry-potter-el-prisionero-de-azkaban-20-aniversario-hufflepuff--vet6rz"
"938","El Viaje Al Pais Del Hielo...","Alex Bell","EDICIONES URANO S.A.",10790,0,0,272,"Tapa Blanda","https://www.linio.cl/p/el-viaje-al-pais-del-hielo-wzfx3k"
"939","La Isla De Las Brujas...","Alex Bell","PENGUIN RANDOM HOUSE GRUPO EDITORIAL S.A",9690,0,0,304,"Tapa Dura","https://www.linio.cl/p/la-isla-de-las-brujas-wzzn0v"
"940","El Explorador Del Amazonas...","Alex Bell","PENGUIN RANDOM HOUSE GRUPO EDITORIAL S.A",9690,0,0,NA,NA,"https://www.linio.cl/p/el-explorador-del-amazonas-x22dit"
"941","HARRY POTTER - EL PRISIONERO DE AZKABAN...","ROWLING, J. K.","PENGUIN RANDOM HOUSE GRUPO EDITORIAL S.A",15090,0,0,416,"Tapa Dura","https://www.linio.cl/p/harry-potter-el-prisionero-de-azkaban-20-aniversario-gryffindor--x2cj9r"
"942","Mil Soles Espléndidos (B)...","Hosseini, Khaled","Salamandra",7000,0,0,416,"Tapa Blanda","https://www.linio.cl/p/mil-soles-esple-ndidos-b--ymstco"
"943","LOS INSTRUMENTOS MUSCIALES...","VVAA","RUBIO",2690,0,0,20,"Tapa Blanda","https://www.linio.cl/p/los-instrumentos-musciales-jqlbci"
"944","La Razón De Estar Contigo #1...","W. Bruce Cameron","Roca",11000,0,0,320,"Tapa Blanda","https://www.linio.cl/p/la-razo-n-de-estar-contigo-1-opri7g"
"945","Blackpink - BESLEY, ADRIAN...","BESLEY, ADRIAN","ROCA EDITORIAL",38890,0,0,224,"Tapa Blanda","https://www.linio.cl/p/blackpink-besley-adrian-qf5ehg"
"946","Exo...","Adrian Besley","PENGUIN RANDOM HOUSE GRUPO EDITORIAL S.A",10890,0,0,232,"Tapa Blanda","https://www.linio.cl/p/exo-qf149b"
"947","La Razon De Estar Contigo. La Historia B...","Bruce W. Cameron","Roca",10000,5,1,176,"Tapa Blanda","https://www.linio.cl/p/la-razon-de-estar-contigo-la-historia-bailey-rznbzg"
"948","Exo K-Pop Superstar...","Adrian Besley","Roca Editorial",11190,0,0,232,"Tapa Blanda","https://www.linio.cl/p/exo-k-pop-superstar-s2hjsk"
"949","La prometida - CASS, KIERA...","CASS, KIERA","ROCA EDITORIAL",41190,0,0,NA,"Tapa Blanda","https://www.linio.cl/p/la-prometida-cass-kiera-s2oqz8"
"950","La corona - CASS, KIERA...","CASS, KIERA","ROCA EDITORIAL",34290,0,0,272,"Tapa Blanda","https://www.linio.cl/p/la-corona-cass-kiera-tn6i8p"
